flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,qwen3-max.csv,deepseek-reasoner.csv,voted_category,confidence
stress-marking,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-per-context-marking-worklist,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-runs,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-sampling-allocation-profiler,GC/Memory,Trace/Debug,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,0.29
stress-scavenge,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-scavenger-conservative-object-pinning,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-scavenger-conservative-object-pinning-random,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-snapshot,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-turbo-late-spilling,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,0.43
stress-validate-asm,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Testing/Fuzzing,Wasm,0.14
stress-wasm-code-gc,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,0.14
stress-wasm-memory-moving,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Testing/Fuzzing,Wasm,0.14
stress-wasm-stack-switching,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,Testing/Fuzzing,Wasm,0.14
strict-termination-checks,Generic,Testing/Fuzzing,Testing/Fuzzing,Generic,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,0.43
string-slices,Data,Data,Data,Data,Data,Data,Data,Data,1.00
super-ic,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
suppress-asm-messages,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
switch-table-min-cases,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
switch-table-spread-threshold,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
target-arch,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Generic,Generic,Compiler/Tier Manager,0.17
target-is-simulator,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Testing/Fuzzing,Generic,Generic,Compiler/Tier Manager,0.17
target-os,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Generic,Generic,Compiler/Tier Manager,0.17
test-only-unsafe,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Generic,Testing/Fuzzing,Testing/Fuzzing,0.71
test-small-max-function-context-stub-size,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
testing-bool-flag,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
testing-float-flag,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
testing-int-flag,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
testing-maybe-bool-flag,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
testing-prng-seed,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
testing-string-flag,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
text-is-readable,Generic,Generic,,Generic,Data,Generic,Generic,Generic,0.67
trace,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-all-uses,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-allocation-stack-interval,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-asm-parser,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-asm-scanner,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-asm-time,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-backing-store,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-baseline,Sparkplug,Sparkplug,Trace/Debug,Sparkplug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-baseline-batch-compilation,Sparkplug,Sparkplug,Trace/Debug,Sparkplug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-block-coverage,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-code-range-allocation,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-compilation-dependencies,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-compiler-dispatcher,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-concurrent-marking,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-concurrent-recompilation,Compiler/Tier Manager,Compiler/Tier Manager,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-context-disposal,GC/Memory,Trace/Debug,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.43
trace-contexts,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-creation-allocation-sites,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-deopt,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-deopt-verbose,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-deserialization,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-detached-contexts,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-duplicate-threshold-kb,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-elements-transitions,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-environment-liveness,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-evacuation,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-evacuation-candidates,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-experimental-regexp-engine,Trace/Debug,Language mode/features,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-file-names,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-flush-code,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-for-in-enumerate,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-fragmentation,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-fragmentation-verbose,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-freelists,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-freelists-verbose,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-heap-layout,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-heap-layout-ignore-minor-gc,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-ignore-scavenger,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-nvp,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-object-stats,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-object-stats-all-objects,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-gc-verbose,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-generalization,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-heap-broker,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-heap-broker-verbose,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-ignition-codegen,Ignition,Ignition,Trace/Debug,Ignition,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-ignition-dispatches-output-file,Ignition,Ignition,Trace/Debug,Ignition,Trace/Debug,Print,Trace/Debug,Ignition,0.00
trace-incremental-marking,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-isolates,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-lazy,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-liftoff,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-maglev-escape-analysis,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-maglev-graph-building,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-maglev-inlining,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-maglev-kna-processor,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-maglev-loop-speeling,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-maglev-object-tracking,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-maglev-phi-untagging,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-maglev-range-analysis,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,0.14
trace-maglev-regalloc,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-memory-balancer,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-memory-reducer,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-migration,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-minor-ms-parallel-marking,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-module-status,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-mutator-utilization,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-normalization,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-number-string-cache,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-opt,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-opt-stats,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-opt-status,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-opt-verbose,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-osr,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-page-promotions,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-parallel-scavenge,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-pending-allocations,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-pretenuring,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-pretenuring-statistics,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-protector-invalidation,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-prototype-users,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-rail,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-read-only-promotion,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-read-only-promotion-verbose,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-regexp-assembler,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-regexp-bytecodes,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-regexp-graph,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-regexp-parser,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-regexp-peephole-optimization,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-regexp-tier-up,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-representation,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-resize-large-object,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-serializer,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-side-effect-free-debug-evaluate,Trace/Debug,Testing/Fuzzing,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-store-elimination,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-stress-marking,GC/Memory,Testing/Fuzzing,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.29
trace-stress-scavenge,GC/Memory,Testing/Fuzzing,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.29
trace-temporal,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,1.00
trace-track-allocation-sites,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-alloc,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-bailouts,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-ceq,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-cfg-file,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Print,Trace/Debug,Turbofan,0.00
trace-turbo-escape,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-file-prefix,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Print,Trace/Debug,Turbofan,0.00
trace-turbo-filter,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-graph,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-inlining,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-jt,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-load-elimination,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-loop,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-path,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Print,Trace/Debug,Turbofan,0.00
trace-turbo-reduction,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-scheduled,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-scheduler,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-stack-accesses,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-trimming,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbo-types,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-turbolev-graph-building,Turbolev,Turbolev,Trace/Debug,Turbolev,Trace/Debug,Turbolev,Trace/Debug,Turbolev,0.14
trace-unmapper,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-verify-csa,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.71
trace-wasm,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-code-gc,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-compilation-times,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-compiler,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-decoder,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-globals,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-inlining,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-instances,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-lazy-compilation,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-loop-peeling,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-memory,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-native-heap,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-offheap-memory,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-revectorize,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-serialization,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-simd-shuffle,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-stack-switching,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-streaming,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-wasm-typer,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,Trace/Debug,Wasm,0.43
trace-zone-stats,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
trace-zone-type-stats,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
track-detached-contexts,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
track-field-types,Data,Optimization,Optimization,Data,Optimization,GC/Memory,Data,Data,0.00
track-gc-object-stats,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
transition-strings-during-gc-with-stack,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
trap-on-abort,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Debug,Generic,Generic,Trace/Debug,0.29
turbo-allocation-folding,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-cf-optimization,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-compress-frame-translations,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-elide-frames,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-escape,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
turbo-fast-api-calls,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
