flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,merged_comparison.csv,qwen3-max.csv,deepseek-reasoner.csv,same?,final_category
concurrent-maglev-max-threads,,,,,,,Maglev,,yes,Maglev
concurrent-marking,,,,,,,GC/Memory,,yes,GC/Memory
concurrent-marking-high-priority-threads,,,,,,,GC/Memory,,yes,GC/Memory
concurrent-marking-max-worker-num,,,,,,,GC/Memory,,yes,GC/Memory
concurrent-minor-ms-marking,,,,,,,GC/Memory,,yes,GC/Memory
concurrent-osr,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
concurrent-recompilation,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
concurrent-recompilation-delay,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
concurrent-recompilation-front-running,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
concurrent-recompilation-queue-length,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
concurrent-sparkplug,,,,,,,Sparkplug,,yes,Sparkplug
concurrent-sparkplug-high-priority-threads,,,,,,,Sparkplug,,yes,Sparkplug
concurrent-sparkplug-max-threads,,,,,,,Sparkplug,,yes,Sparkplug
concurrent-sweeping,,,,,,,GC/Memory,,yes,GC/Memory
concurrent-turbo-tracing,,,,,,,Turbofan,,yes,Turbofan
concurrent-turbofan-max-threads,,,,,,,Turbofan,,yes,Turbofan
conservative-stack-scanning,,,,,,,GC/Memory,,yes,GC/Memory
correctness-fuzzer-suppressions,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
cppgc-random-gc-interval,,,,,,,GC/Memory,,yes,GC/Memory
cppgc-young-generation,,,,,,,GC/Memory,,yes,GC/Memory
cppheap-concurrent-marking,,,,,,,GC/Memory,,yes,GC/Memory
cppheap-incremental-marking,,,,,,,GC/Memory,,yes,GC/Memory
cpu-profiler-sampling-interval,,,,,,,Trace/Debug,,yes,Trace/Debug
csa-trap-on-node,,,,,,,Turbofan,,yes,Turbofan
debug-code,,,,,,,Generic,,yes,Generic
decommit-pooled-pages,,,,,,,GC/Memory,,yes,GC/Memory
deduplicate-heap-number-requests,,,,,,,Optimization,,yes,Optimization
default-to-experimental-regexp-engine,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
deopt-every-n-times,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
detailed-error-stack-trace,,,,,,,Trace/Debug,,yes,Trace/Debug
detailed-line-info,,,,,,,Trace/Debug,,yes,Trace/Debug
detect-ineffective-gcs-near-heap-limit,,,,,,,GC/Memory,,yes,GC/Memory
dict-property-const-tracking,,,,,,,Optimization,,yes,Optimization
direct-handle,,,,,,,GC/Memory,,yes,GC/Memory
disable-abortjs,,,,,,,GC/Memory,,yes,GC/Memory
disable-optimizing-compilers,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
disable-write-barriers,,,,,,,GC/Memory,,yes,GC/Memory
disallow-code-generation-from-strings,,,,,,,Security,,yes,Security
disallow-unsafe-flags,,,,,,,Security,,yes,Security
double-string-cache-size,,,,,,,Data,,yes,Data
dump-allocations-digest-at-alloc,,,,,,,Trace/Debug,,yes,Trace/Debug
dump-builtins-hashes-to-file,,,,,,,Print,,yes,Print
dump-wasm-module,,,,,,,Wasm,,yes,Wasm
dump-wasm-module-path,,,,,,,Print,,yes,Print
efficiency-mode,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
efficiency-mode-delay-turbofan-multiply,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
efficiency-mode-disable-turbofan,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
embedded-src,,,,,,,Print,,yes,Print
embedded-variant,,,,,,,Print,,yes,Print
empty-context-extension-dep,,,,,,,Optimization,,yes,Optimization
enable-32dregs,,,,,,,Generic,,yes,Generic
enable-allocation-folding,,,,,,,Optimization,,yes,Optimization
enable-armv7,,,,,,,Generic,,yes,Generic
enable-armv8,,,,,,,Generic,,yes,Generic
enable-avx,,,,,,,Generic,,yes,Generic
enable-avx-vnni,,,,,,,Generic,,yes,Generic
enable-avx-vnni-int8,,,,,,,Generic,,yes,Generic
enable-avx2,,,,,,,Generic,,yes,Generic
enable-bmi1,,,,,,,Generic,,yes,Generic
enable-bmi2,,,,,,,Generic,,yes,Generic
enable-bytecode-compiler-ablation,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
enable-enumerated-keyed-access-bytecode,,,,,,,Optimization,,yes,Optimization
enable-etw-by-custom-filter-only,,,,,,,Trace/Debug,,yes,Trace/Debug
enable-etw-stack-walking,,,,,,,Trace/Debug,,yes,Trace/Debug
enable-experimental-regexp-engine,,,,,,,Language mode/features,,yes,Language mode/features
enable-experimental-regexp-engine-on-excessive-backtracks,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
enable-f16c,,,,,,,Generic,,yes,Generic
enable-fma3,,,,,,,Generic,,yes,Generic
enable-lazy-source-positions,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
enable-lzcnt,,,,,,,Generic,,yes,Generic
enable-neon,,,,,,,Generic,,yes,Generic
enable-parser-ablation,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
enable-popcnt,,,,,,,Generic,,yes,Generic
enable-preparser-ablation,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
enable-regexp-unaligned-accesses,,,,,,,Optimization,,yes,Optimization
enable-sahf,,,,,,,Generic,,yes,Generic
enable-sharedarraybuffer-per-context,,,,,,,Language mode/features,,yes,Language mode/features
enable-slow-asserts,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
enable-source-at-csa-bind,,,,,,,Generic,,yes,Generic
enable-sse3,,,,,,,Generic,,yes,Generic
enable-sse4-1,,,,,,,Generic,,yes,Generic
enable-sse4-2,,,,,,,Generic,,yes,Generic
enable-ssse3,,,,,,,Generic,,yes,Generic
enable-sudiv,,,,,,,Generic,,yes,Generic
enable-testing-opcode-in-wasm,,,,,,,Wasm,,yes,Wasm
enable-unconditional-write-barriers,,,,,,,GC/Memory,,yes,GC/Memory
enable-vfp3,,,,,,,Generic,,yes,Generic
ephemeron-fixpoint-iterations,,,,,,,GC/Memory,,yes,GC/Memory
etw-trace-debug,,,,,,,Trace/Debug,,yes,Trace/Debug
exit-on-contradictory-flags,,,,,,,Generic,,yes,Generic
experimental,,,,,,,Generic,,yes,Generic
experimental-embedder-instance-types,,,,,,,Generic,,yes,Generic
experimental-flush-embedded-blob-icache,,,,,,,GC/Memory,,yes,GC/Memory
experimental-fuzzing,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
experimental-regexp-engine-capture-group-opt,,,,,,,Optimization,,yes,Optimization
experimental-regexp-engine-capture-group-opt-max-memory-usage,,,,,,,GC/Memory,,yes,GC/Memory
experimental-report-exceptions-from-callbacks,,,,,,,Generic,,yes,Generic
experimental-stack-trace-frames,,,,,,,Trace/Debug,,yes,Trace/Debug
experimental-wasm-assume-ref-cast-succeeds,,,,,,,Wasm,,yes,Wasm
experimental-wasm-branch-hinting,,,,,,,Wasm,,yes,Wasm
experimental-wasm-compilation-hints,,,,,,,Wasm,,yes,Wasm
experimental-wasm-custom-descriptors,,,,,,,Wasm,,yes,Wasm
experimental-wasm-exnref,,,,,,,Wasm,,yes,Wasm
experimental-wasm-fp16,,,,,,,Wasm,,yes,Wasm
experimental-wasm-growable-stacks,,,,,,,Wasm,,yes,Wasm
experimental-wasm-imported-strings-utf8,,,,,,,Wasm,,yes,Wasm
experimental-wasm-instruction-tracing,,,,,,,Wasm,,yes,Wasm
experimental-wasm-js-interop,,,,,,,Wasm,,yes,Wasm
experimental-wasm-legacy-eh,,,,,,,Wasm,,yes,Wasm
experimental-wasm-memory-control,,,,,,,Wasm,,yes,Wasm
experimental-wasm-pgo-from-file,,,,,,,Wasm,,yes,Wasm
experimental-wasm-pgo-to-file,,,,,,,Wasm,,yes,Wasm
experimental-wasm-rab-integration,,,,,,,Wasm,,yes,Wasm
experimental-wasm-ref-cast-nop,,,,,,,Wasm,,yes,Wasm
experimental-wasm-revectorize,,,,,,,Wasm,,yes,Wasm
experimental-wasm-shared,,,,,,,Wasm,,yes,Wasm
experimental-wasm-skip-bounds-checks,,,,,,,Wasm,,yes,Wasm
experimental-wasm-skip-null-checks,,,,,,,Wasm,,yes,Wasm
experimental-wasm-stringref,,,,,,,Wasm,,yes,Wasm
experimental-wasm-type-reflection,,,,,,,Wasm,,yes,Wasm
experimental-wasm-wasmfx,,,,,,,Wasm,,yes,Wasm
expose-async-hooks,,,,,,,Language mode/features,,yes,Language mode/features
expose-cputracemark-as,,,,,,,Trace/Debug,,yes,Trace/Debug
expose-externalize-string,,,,,,,Language mode/features,,yes,Language mode/features
expose-gc,,,,,,,GC/Memory,,yes,GC/Memory
expose-gc-as,,,,,,,GC/Memory,,yes,GC/Memory
expose-ignition-statistics,,,,,,,Trace/Debug,,yes,Trace/Debug
expose-inspector-scripts,,,,,,,Trace/Debug,,yes,Trace/Debug
expose-memory-corruption-api,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
expose-statistics,,,,,,,Trace/Debug,,yes,Trace/Debug
expose-trigger-failure,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
extensible-ro-snapshot,,,,,,,GC/Memory,,yes,GC/Memory
external-memory-accounted-in-global-limit,,,,,,,GC/Memory,,yes,GC/Memory
external-memory-max-growing-factor,,,,,,,GC/Memory,,yes,GC/Memory
external-reference-stats,,,,,,,Trace/Debug,,yes,Trace/Debug
fast-api-allow-float-in-sim,,,,,,,Turbofan,,yes,Turbofan
fast-map-update,,,,,,,Optimization,,yes,Optimization
fast-properties-soft-limit,,,,,,,Optimization,,yes,Optimization
feedback-normalization,,,,,,,Optimization,,yes,Optimization
fixed-array-bounds-checks,,,,,,,GC/Memory,,yes,GC/Memory
flush-baseline-code,,,,,,,GC/Memory,,yes,GC/Memory
flush-bytecode,,,,,,,GC/Memory,,yes,GC/Memory
flush-code-based-on-tab-visibility,,,,,,,GC/Memory,,yes,GC/Memory
flush-code-based-on-time,,,,,,,GC/Memory,,yes,GC/Memory
flush-liftoff-code,,,,,,,Wasm,,yes,Wasm
for-of-optimization,,,,,,,Optimization,,yes,Optimization
force-emit-interrupt-budget-checks,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
force-long-branches,,,,,,,Generic,,yes,Generic
force-memory-protection-keys,,,,,,,GC/Memory,,yes,GC/Memory
force-slow-path,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
freeze-flags-after-init,,,,,,,Generic,,yes,Generic
function-context-cells,,,,,,,Optimization,,yes,Optimization
function-context-cells-max-size,,,,,,,Optimization,,yes,Optimization
future,,,,,,,Language mode/features,,yes,Language mode/features
fuzzer-gc-analysis,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
fuzzer-random-seed,,,,,,,Data,,yes,Data
fuzzing,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
fuzzing-and-concurrent-recompilation,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
gc-experiment-less-compaction,,,,,,,GC/Memory,,yes,GC/Memory
gc-fake-mmap,,,,,,,Print,,yes,Print
gc-global,,,,,,,GC/Memory,,yes,GC/Memory
gc-interval,,,,,,,GC/Memory,,yes,GC/Memory
gc-memory-reducer-start-delay-ms,,,,,,,GC/Memory,,yes,GC/Memory
gc-speed-uses-counters,,,,,,,GC/Memory,,yes,GC/Memory
gc-stats,,,,,,,GC/Memory,,yes,GC/Memory
gc-verbose,,,,,,,Trace/Debug,,yes,Trace/Debug
gdbjit,,,,,,,Trace/Debug,,yes,Trace/Debug
gdbjit-dump,,,,,,,Print,,yes,Print
gdbjit-dump-filter,,,,,,,Print,,yes,Print
gdbjit-full,,,,,,,Trace/Debug,,yes,Trace/Debug
handle-weak-ref-weakly-in-minor-gc,,,,,,,GC/Memory,,yes,GC/Memory
hard-abort,,,,,,,Generic,,yes,Generic
harmony,,,,,,,Language mode/features,,yes,Language mode/features
harmony-import-attributes,,,,,,,Language mode/features,,yes,Language mode/features
harmony-intl-best-fit-matcher,,,,,,,Language mode/features,,yes,Language mode/features
harmony-remove-intl-locale-info-getters,,,,,,,Language mode/features,,yes,Language mode/features
harmony-shadow-realm,,,,,,,Language mode/features,,yes,Language mode/features
harmony-shipping,,,,,,,Language mode/features,,yes,Language mode/features
harmony-struct,,,,,,,Language mode/features,,yes,Language mode/features
harmony-temporal,,,,,,,Language mode/features,,yes,Language mode/features
hash-seed,,,,,,,Data,,yes,Data
hashes-collide,,,,,,,Data,,yes,Data
heap-growing-percent,,,,,,,GC/Memory,,yes,GC/Memory
heap-profiler-show-hidden-objects,,,,,,,GC/Memory,,yes,GC/Memory
heap-profiler-trace-objects,,,,,,,GC/Memory,,yes,GC/Memory
heap-profiler-use-embedder-graph,,,,,,,GC/Memory,,yes,GC/Memory
heap-snapshot-on-gc,,,,,,,GC/Memory,,yes,GC/Memory
heap-snapshot-on-oom,,,,,,,GC/Memory,,yes,GC/Memory
heap-snapshot-path,,,,,,,Print,,yes,Print
heap-snapshot-string-limit,,,,,,,GC/Memory,,yes,GC/Memory
heap-snapshot-verify,,,,,,,GC/Memory,,yes,GC/Memory
help,,,,,,,Generic,,yes,Generic
high-end-android,,,,,,,GC/Memory,,yes,GC/Memory
high-end-android-physical-memory-threshold,,,,,,,GC/Memory,,yes,GC/Memory
histogram-interval,,,,,,,Trace/Debug,,yes,Trace/Debug
hole-fuzzing,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
icu-british-remove-full-weekday-comma,,,,,,,Language mode/features,,yes,Language mode/features
icu-datetime-compat-lang,,,,,,,Language mode/features,,yes,Language mode/features
icu-default-italian-number-grouping-always,,,,,,,Language mode/features,,yes,Language mode/features
icu-timezone-data,,,,,,,Language mode/features,,yes,Language mode/features
idle-gc-on-context-disposal,,,,,,,GC/Memory,,yes,GC/Memory
ignition-elide-noneffectful-bytecodes,,,,,,,Ignition,,yes,Ignition
ignition-elide-redundant-tdz-checks,,,,,,,Ignition,,yes,Ignition
ignition-filter-expression-positions,,,,,,,Ignition,,yes,Ignition
ignition-reo,,,,,,,Ignition,,yes,Ignition
ignition-share-named-property-feedback,,,,,,,Ignition,,yes,Ignition
incremental-marking,,,,,,,GC/Memory,,yes,GC/Memory
incremental-marking-for-gc-in-background,,,,,,,GC/Memory,,yes,GC/Memory
incremental-marking-hard-trigger,,,,,,,GC/Memory,,yes,GC/Memory
incremental-marking-soft-trigger,,,,,,,GC/Memory,,yes,GC/Memory
incremental-marking-task,,,,,,,GC/Memory,,yes,GC/Memory
incremental-marking-unified-schedule,,,,,,,GC/Memory,,yes,GC/Memory
ineffective-gc-includes-global,,,,,,,GC/Memory,,yes,GC/Memory
ineffective-gc-mutator-utilization-threshold,,,,,,,GC/Memory,,yes,GC/Memory
ineffective-gc-size-threshold,,,,,,,GC/Memory,,yes,GC/Memory
ineffective-gcs-forces-last-resort,,,,,,,GC/Memory,,yes,GC/Memory
initial-heap-size,,,,,,,GC/Memory,,yes,GC/Memory
initial-old-space-size,,,,,,,GC/Memory,,yes,GC/Memory
initial-shared-heap-size,,,,,,,GC/Memory,,yes,GC/Memory
inline-date-accessors,,,,,,,Optimization,,yes,Optimization
inline-new,,,,,,,Optimization,,yes,Optimization
inspector-live-edit,,,,,,,Trace/Debug,,yes,Trace/Debug
intel-jcc-erratum-mitigation,,,,,,,Generic,,yes,Generic
internalize-on-the-fly,,,,,,,Optimization,,yes,Optimization
interpreted-frames-native-stack,,,,,,,Trace/Debug,,yes,Trace/Debug
invocation-count-for-early-optimization,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
invocation-count-for-feedback-allocation,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
invocation-count-for-maglev,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
invocation-count-for-maglev-osr,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
invocation-count-for-maglev-with-delay,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
invocation-count-for-osr,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
invocation-count-for-turbofan,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
is-standalone-d8-shell,,,,,,,Generic,,yes,Generic
jit-fuzzing,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
jitless,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
js-atomics-pause,,,,,,,Language mode/features,,yes,Language mode/features
js-base-64,,,,,,,Language mode/features,,yes,Language mode/features
js-decorators,,,,,,,Language mode/features,,yes,Language mode/features
js-defer-import-eval,,,,,,,Language mode/features,,yes,Language mode/features
js-error-iserror,,,,,,,Language mode/features,,yes,Language mode/features
js-explicit-resource-management,,,,,,,Language mode/features,,yes,Language mode/features
js-float16array,,,,,,,Language mode/features,,yes,Language mode/features
js-intl-locale-variants,,,,,,,Language mode/features,,yes,Language mode/features
js-nonextensible-applies-to-private,,,,,,,Language mode/features,,yes,Language mode/features
js-promise-try,,,,,,,Language mode/features,,yes,Language mode/features
js-regexp-duplicate-named-groups,,,,,,,Language mode/features,,yes,Language mode/features
js-regexp-escape,,,,,,,Language mode/features,,yes,Language mode/features
js-regexp-modifiers,,,,,,,Language mode/features,,yes,Language mode/features
js-shipping,,,,,,,Language mode/features,,yes,Language mode/features
js-source-phase-imports,,,,,,,Language mode/features,,yes,Language mode/features
js-staging,,,,,,,Language mode/features,,yes,Language mode/features
js-upsert,,,,,,,Language mode/features,,yes,Language mode/features
json-stringify-fast-path,,,,,,,Optimization,,yes,Optimization
large-page-pool,,,,,,,GC/Memory,,yes,GC/Memory
late-heap-limit-check,,,,,,,GC/Memory,,yes,GC/Memory
lazy,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
lazy-compile-dispatcher,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
lazy-compile-dispatcher-max-threads,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
lazy-eval,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
lazy-feedback-allocation,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
lazy-new-space-shrinking,,,,,,,GC/Memory,,yes,GC/Memory
lazy-streaming,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
liftoff,,,,,,,Wasm,,yes,Wasm
liftoff-only,,,,,,,Wasm,,yes,Wasm
lite-mode,,,,,,,GC/Memory,,yes,GC/Memory
ll-prof,,,,,,,Trace/Debug,,yes,Trace/Debug
local-off-stack-check,,,,,,,GC/Memory,,yes,GC/Memory
log,,,,,,,Trace/Debug,,yes,Trace/Debug
log-all,,,,,,,Trace/Debug,,yes,Trace/Debug
log-code,,,,,,,Trace/Debug,,yes,Trace/Debug
log-code-disassemble,,,,,,,Trace/Debug,,yes,Trace/Debug
log-colour,,,,,,,Print,,yes,Print
log-deopt,,,,,,,Trace/Debug,,yes,Trace/Debug
log-feedback-vector,,,,,,,Trace/Debug,,yes,Trace/Debug
log-function-events,,,,,,,Trace/Debug,,yes,Trace/Debug
log-ic,,,,,,,Trace/Debug,,yes,Trace/Debug
log-internal-timer-events,,,,,,,Trace/Debug,,yes,Trace/Debug
log-maps,,,,,,,Trace/Debug,,yes,Trace/Debug
log-maps-details,,,,,,,Trace/Debug,,yes,Trace/Debug
log-or-trace-osr,,,,,,,Trace/Debug,,yes,Trace/Debug
log-source-code,,,,,,,Trace/Debug,,yes,Trace/Debug
log-source-position,,,,,,,Trace/Debug,,yes,Trace/Debug
log-timer-events,,,,,,,Trace/Debug,,yes,Trace/Debug
logfile,,,,,,,Print,,yes,Print
logfile-per-isolate,,,,,,,Print,,yes,Print
maglev,,,,,,,Maglev,,yes,Maglev
maglev-allocation-folding,,,,,,,Maglev,,yes,Maglev
maglev-as-top-tier,,,,,,,Maglev,,yes,Maglev
maglev-assert,,,,,,,Maglev,,yes,Maglev
maglev-assert-stack-size,,,,,,,Maglev,,yes,Maglev
maglev-break-on-entry,,,,,,,Maglev,,yes,Maglev
maglev-build-code-on-background,,,,,,,Maglev,,yes,Maglev
maglev-cons-string-elision,,,,,,,Maglev,,yes,Maglev
maglev-cse,,,,,,,Maglev,,yes,Maglev
maglev-deopt-data-on-background,,,,,,,Maglev,,yes,Maglev
maglev-destroy-on-background,,,,,,,Maglev,,yes,Maglev
maglev-escape-analysis,,,,,,,Maglev,,yes,Maglev
maglev-filter,,,,,,,Maglev,,yes,Maglev
maglev-function-context-specialization,,,,,,,Maglev,,yes,Maglev
maglev-future,,,,,,,Maglev,,yes,Maglev
maglev-hoist-osr-value-phi-untagging,,,,,,,Maglev,,yes,Maglev
maglev-inline-api-calls,,,,,,,Maglev,,yes,Maglev
maglev-inline-date-accessors,,,,,,,Maglev,,yes,Maglev
maglev-inlining,,,,,,,Maglev,,yes,Maglev
maglev-licm,,,,,,,Maglev,,yes,Maglev
maglev-loop-peeling,,,,,,,Maglev,,yes,Maglev
maglev-loop-peeling-max-size,,,,,,,Maglev,,yes,Maglev
maglev-loop-peeling-max-size-cumulative,,,,,,,Maglev,,yes,Maglev
maglev-non-eager-inlining,,,,,,,Maglev,,yes,Maglev
maglev-object-tracking,,,,,,,Maglev,,yes,Maglev
maglev-optimistic-peeled-loops,,,,,,,Maglev,,yes,Maglev
maglev-osr,,,,,,,Maglev,,yes,Maglev
maglev-overwrite-budget,,,,,,,Maglev,,yes,Maglev
maglev-overwrite-osr-budget,,,,,,,Maglev,,yes,Maglev
maglev-poly-calls,,,,,,,Maglev,,yes,Maglev
maglev-pretenure-store-values,,,,,,,Maglev,,yes,Maglev
maglev-print-bytecode,,,,,,,Maglev,,yes,Maglev
maglev-print-feedback,,,,,,,Maglev,,yes,Maglev
maglev-print-filter,,,,,,,Maglev,,yes,Maglev
maglev-print-inlined,,,,,,,Maglev,,yes,Maglev
maglev-print-provenance,,,,,,,Maglev,,yes,Maglev
maglev-range-analysis,,,,,,,Maglev,,yes,Maglev
maglev-reuse-stack-slots,,,,,,,Maglev,,yes,Maglev
maglev-speculative-hoist-phi-untagging,,,,,,,Maglev,,yes,Maglev
maglev-stats,,,,,,,Maglev,,yes,Maglev
maglev-stats-nvp,,,,,,,Maglev,,yes,Maglev
maglev-truncation,,,,,,,Maglev,,yes,Maglev
maglev-untagged-phis,,,,,,,Maglev,,yes,Maglev
managed-zone-memory,,,,,,,GC/Memory,,yes,GC/Memory
manual-evacuation-candidates-selection,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
map-counters,,,,,,,Print,,yes,Print
max-fast-properties,,,,,,,Optimization,,yes,Optimization
max-heap-size,,,,,,,GC/Memory,,yes,GC/Memory
max-inlined-bytecode-size,,,,,,,Turbofan,,yes,Turbofan
max-inlined-bytecode-size-absolute,,,,,,,Turbofan,,yes,Turbofan
max-inlined-bytecode-size-cumulative,,,,,,,Turbofan,,yes,Turbofan
max-inlined-bytecode-size-small,,,,,,,Turbofan,,yes,Turbofan
max-inlined-bytecode-size-small-total,,,,,,,Turbofan,,yes,Turbofan
max-inlined-bytecode-size-small-with-heapnum-in-out,,,,,,,Turbofan,,yes,Turbofan
max-large-page-pool-size,,,,,,,GC/Memory,,yes,GC/Memory
max-lazy,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
max-maglev-hard-inline-depth,,,,,,,Maglev,,yes,Maglev
max-maglev-inline-depth,,,,,,,Maglev,,yes,Maglev
max-maglev-inlined-bytecode-size,,,,,,,Maglev,,yes,Maglev
max-maglev-inlined-bytecode-size-cumulative,,,,,,,Maglev,,yes,Maglev
max-maglev-inlined-bytecode-size-small,,,,,,,Maglev,,yes,Maglev
max-maglev-inlined-bytecode-size-small-total,,,,,,,Maglev,,yes,Maglev
max-maglev-inlined-bytecode-size-small-with-heapnum-in-out,,,,,,,Maglev,,yes,Maglev
max-old-space-size,,,,,,,GC/Memory,,yes,GC/Memory
max-opt,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
max-optimized-bytecode-size,,,,,,,Turbofan,,yes,Turbofan
max-semi-space-size,,,,,,,GC/Memory,,yes,GC/Memory
max-serializer-nesting,,,,,,,GC/Memory,,yes,GC/Memory
max-shared-heap-size,,,,,,,GC/Memory,,yes,GC/Memory
max-stack-trace-source-length,,,,,,,Trace/Debug,,yes,Trace/Debug
max-turbolev-inlined-bytecode-size-cumulative,,,,,,,Turbolev,,yes,Turbolev
max-valid-polymorphic-map-count,,,,,,,Optimization,,yes,Optimization
max-wasm-functions,,,,,,,Wasm,,yes,Wasm
mcpu,,,,,,,Generic,,yes,Generic
mega-dom-ic,,,,,,,Optimization,,yes,Optimization
memory-balancer,,,,,,,GC/Memory,,yes,GC/Memory
memory-balancer-c-value,,,,,,,GC/Memory,,yes,GC/Memory
memory-pool,,,,,,,GC/Memory,,yes,GC/Memory
memory-pool-release-before-memory-pressure-gcs,,,,,,,GC/Memory,,yes,GC/Memory
memory-pool-release-on-malloc-failures,,,,,,,GC/Memory,,yes,GC/Memory
memory-pool-share-memory-on-teardown,,,,,,,GC/Memory,,yes,GC/Memory
memory-protection-keys,,,,,,,GC/Memory,,yes,GC/Memory
memory-reducer,,,,,,,GC/Memory,,yes,GC/Memory
memory-reducer-favors-memory,,,,,,,GC/Memory,,yes,GC/Memory
memory-reducer-for-small-heaps,,,,,,,GC/Memory,,yes,GC/Memory
memory-reducer-gc-count,,,,,,,GC/Memory,,yes,GC/Memory
memory-reducer-respects-frozen-state,,,,,,,GC/Memory,,yes,GC/Memory
memory-saver-mode,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
merge-background-deserialized-script-with-compilation-cache,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
min-inlining-frequency,,,,,,,Turbofan,,yes,Turbofan
min-maglev-inlining-frequency,,,,,,,Maglev,,yes,Maglev
min-semi-space-size,,,,,,,GC/Memory,,yes,GC/Memory
minimum-invocations-after-ic-update,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
minimum-invocations-before-optimization,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
minor-gc-task,,,,,,,GC/Memory,,yes,GC/Memory
minor-gc-task-trigger,,,,,,,GC/Memory,,yes,GC/Memory
minor-gc-task-with-lower-priority,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms-concurrent-marking-trigger,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms-max-page-age,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms-min-lab-size-kb,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms-min-new-space-capacity-for-concurrent-marking-mb,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms-page-promotion-max-lab-threshold,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms-page-promotion-threshold,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms-shortcut-strings,,,,,,,GC/Memory,,yes,GC/Memory
minor-ms-trace-fragmentation,,,,,,,Trace/Debug,,yes,Trace/Debug
mock-arraybuffer-allocator,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
mock-arraybuffer-allocator-limit,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
move-object-start,,,,,,,GC/Memory,,yes,GC/Memory
move-prototype-transitions-first,,,,,,,Optimization,,yes,Optimization
multi-mapped-mock-allocator,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
native-code-counters,,,,,,,Trace/Debug,,yes,Trace/Debug
